FID	IID	Pop	#IID	PAT	MAT	SEX	SuperPop	Population
BB01	HG01879	ACB	HG01879	0	0	1.0	AFR	ACB
BB01	HG01880	ACB	HG01880	0	0	2.0	AFR	ACB
BB01	HG01881	ACB						
BB02	HG01882	ACB	HG01882	0	0	1.0	AFR	ACB
BB02	HG01883	ACB	HG01883	0	0	2.0	AFR	ACB
BB02	HG01888	ACB						
BB03	HG01884	ACB						
BB03	HG01885	ACB	HG01885	0	0	1.0	AFR	ACB
BB03	HG01956	ACB	HG01956	0	0	2.0	AFR	ACB
BB04	HG01886	ACB	HG01886	0	0	2.0	AFR	ACB
BB04	HG01887	ACB						
BB04	HG02014	ACB	HG02014	0	0	1.0	AFR	ACB
BB05	HG01889	ACB	HG01889	0	0	2.0	AFR	ACB
BB05	HG01890	ACB	HG01890	0	0	1.0	AFR	ACB
BB05	HG01891	ACB						
BB06	HG01894	ACB	HG01894	0	0	2.0	AFR	ACB
BB06	HG01895	ACB						
BB06	HG01912	ACB	HG01912	0	0	1.0	AFR	ACB
BB07	HG01896	ACB	HG01896	0	0	2.0	AFR	ACB
BB07	HG01897	ACB						
BB07	HG02013	ACB	HG02013	0	0	1.0	AFR	ACB
BB08	HG01985	ACB	HG01985	0	0	2.0	AFR	ACB
BB09	HG01914	ACB	HG01914	0	0	1.0	AFR	ACB
BB09	HG01915	ACB	HG01915	0	0	2.0	AFR	ACB
BB09	HG01916	ACB						
BB10	HG01958	ACB	HG01958	0	0	2.0	AFR	ACB
BB10	HG01959	ACB						
BB10	HG01986	ACB	HG01986	0	0	1.0	AFR	ACB
BB11	HG01960	ACB						
BB11	HG01988	ACB	HG01988	0	0	1.0	AFR	ACB
BB11	HG01989	ACB	HG01989	0	0	2.0	AFR	ACB
BB12	HG01987	ACB						
BB12	HG01990	ACB	HG01990	0	0	1.0	AFR	ACB
BB12	HG02012	ACB	HG02012	0	0	2.0	AFR	ACB
BB13	HG02009	ACB	HG02009	0	0	1.0	AFR	ACB
BB13	HG02010	ACB	HG02010	0	0	2.0	AFR	ACB
BB13	HG02011	ACB						
BB14	HG02051	ACB	HG02051	0	0	1.0	AFR	ACB
BB14	HG02052	ACB	HG02052	0	0	2.0	AFR	ACB
BB15	HG02053	ACB	HG02053	0	0	1.0	AFR	ACB
BB15	HG02054	ACB	HG02054	0	0	2.0	AFR	ACB
BB15	HG02055	ACB						
BB16	HG02095	ACB	HG02095	0	0	2.0	AFR	ACB
BB16	HG02332	ACB	HG02332	0	0	1.0	AFR	ACB
BB18	HG02107	ACB	HG02107	0	0	1.0	AFR	ACB
BB18	HG02108	ACB	HG02108	0	0	2.0	AFR	ACB
BB19	HG02111	ACB	HG02111	0	0	2.0	AFR	ACB
BB20	HG02143	ACB	HG02143	0	0	1.0	AFR	ACB
BB20	HG02144	ACB	HG02144	0	0	2.0	AFR	ACB
BB20	HG02145	ACB						
BB21	HG02255	ACB	HG02255	0	0	1.0	AFR	ACB
BB21	HG02256	ACB	HG02256	0	0	2.0	AFR	ACB
BB21	HG02257	ACB						
BB22	HG02258	ACB						
BB22	HG02314	ACB	HG02314	0	0	1.0	AFR	ACB
BB22	HG02315	ACB	HG02315	0	0	2.0	AFR	ACB
BB23	HG02280	ACB						
BB23	HG02307	ACB	HG02307	0	0	1.0	AFR	ACB
BB23	HG02308	ACB	HG02308	0	0	2.0	AFR	ACB
BB24	HG02281	ACB	HG02281	0	0	1.0	AFR	ACB
BB24	HG02282	ACB	HG02282	0	0	2.0	AFR	ACB
BB24	HG02321	ACB						
BB25	HG02283	ACB	HG02283	0	0	1.0	AFR	ACB
BB25	HG02309	ACB	HG02309	0	0	2.0	AFR	ACB
BB26	HG02284	ACB	HG02284	0	0	1.0	AFR	ACB
BB27	HG02316	ACB						
BB27	HG02317	ACB	HG02317	0	0	1.0	AFR	ACB
BB27	HG02318	ACB	HG02318	0	0	2.0	AFR	ACB
BB28	HG02322	ACB	HG02322	0	0	2.0	AFR	ACB
BB29	HG02323	ACB	HG02323	0	0	1.0	AFR	ACB
BB30	HG02325	ACB	HG02325	0	0	2.0	AFR	ACB
BB31	HG02337	ACB	HG02337	0	0	2.0	AFR	ACB
BB32	HG02334	ACB	HG02334	0	0	1.0	AFR	ACB
BB33	HG02330	ACB	HG02330	0	0	1.0	AFR	ACB
BB34	HG02339	ACB	HG02339	0	0	2.0	AFR	ACB
BB35	HG02343	ACB	HG02343	0	0	1.0	AFR	ACB
BB36	HG02419	ACB	HG02419	0	0	2.0	AFR	ACB
BB37	HG02420	ACB	HG02420	0	0	1.0	AFR	ACB
BB37	HG02427	ACB	HG02427	0	0	2.0	AFR	ACB
BB37	HG02428	ACB						
BB39	HG02429	ACB	HG02429	0	0	1.0	AFR	ACB
BB40	HG02436	ACB						
BB41	HG02433	ACB	HG02433	0	0	1.0	AFR	ACB
