FID	IID	Pop_inferred
BB01	HG01879	AFR
BB01	HG01880	AFR
BB01	HG01881	AFR
BB02	HG01882	AFR
BB02	HG01883	AFR
BB02	HG01888	AFR
BB03	HG01884	AFR
BB03	HG01885	AFR
BB03	HG01956	AFR
BB04	HG01886	AFR
BB04	HG01887	AFR
BB04	HG02014	AFR
BB05	HG01889	AFR
BB05	HG01890	AFR
BB05	HG01891	AFR
BB06	HG01894	AFR
BB06	HG01895	AFR
BB06	HG01912	AFR
BB07	HG01896	AFR
BB07	HG01897	AFR
BB07	HG02013	AFR
BB08	HG01985	AFR
BB09	HG01914	AFR
BB09	HG01915	AFR
BB09	HG01916	AFR
BB10	HG01958	AFR
BB10	HG01959	AFR
BB10	HG01986	AFR
BB11	HG01960	AFR
BB11	HG01988	AFR
BB11	HG01989	AFR
BB12	HG01987	AFR
BB12	HG01990	AFR
BB12	HG02012	AFR
BB13	HG02009	AFR
BB13	HG02010	AFR
BB13	HG02011	AFR
BB14	HG02051	AFR
BB14	HG02052	AFR
BB15	HG02053	AFR
BB15	HG02054	AFR
BB15	HG02055	AFR
BB16	HG02095	AFR
BB16	HG02332	AFR
BB18	HG02107	AFR
BB18	HG02108	AFR
BB19	HG02111	AFR
BB20	HG02143	AFR
BB20	HG02144	AFR
BB20	HG02145	AFR
BB21	HG02255	AFR
BB21	HG02256	AFR
BB21	HG02257	AFR
BB22	HG02258	AFR
BB22	HG02314	AFR
BB22	HG02315	AFR
BB23	HG02280	AFR
BB23	HG02307	AFR
BB23	HG02308	AFR
BB24	HG02281	AFR
BB24	HG02282	AFR
BB24	HG02321	AFR
BB25	HG02283	AFR
BB25	HG02309	AFR
BB26	HG02284	AFR
BB27	HG02316	AFR
BB27	HG02317	AFR
BB27	HG02318	AFR
BB28	HG02322	AFR
BB29	HG02323	AFR
BB30	HG02325	AFR
BB31	HG02337	AFR
BB32	HG02334	AFR
BB33	HG02330	AFR
BB34	HG02339	AFR
BB35	HG02343	AFR
BB36	HG02419	AFR
BB37	HG02420	AFR
BB37	HG02427	AFR
BB37	HG02428	AFR
BB39	HG02429	AFR
BB40	HG02436	AFR
BB41	HG02433	AFR
BB42	HG02439	AFR
BB43	HG02442	AFR
BB44	HG02445	AFR
BB45	HG02489	AFR
BB46	HG02449	AFR
BB46	HG02450	AFR
BB46	HG02451	AFR
BB48	HG02455	AFR
BB49	HG02470	AFR
BB49	HG02471	AFR
BB51	HG02476	AFR
BB52	HG02477	AFR
BB53	HG02478	AFR
BB53	HG02479	AFR
BB53	HG02480	AFR
BB54	HG02481	AFR
BB55	HG02484	AFR
BB55	HG02485	AFR
BB55	HG02486	AFR
BB56	HG02511	AFR
BB57	HG02496	AFR
BB57	HG02497	AFR
BB58	HG02501	AFR
BB58	HG02502	AFR
BB59	HG02505	AFR
BB60	HG02508	AFR
BB61	HG02536	AFR
BB61	HG02537	AFR
BB63	HG02541	AFR
BB64	HG02545	AFR
BB64	HG02546	AFR
BB64	HG02547	AFR
BB65	HG02549	AFR
BB67	HG02554	AFR
BB67	HG02555	AFR
BB68	HG02557	AFR
BB68	HG02558	AFR
BB68	HG02559	AFR
BB69	HG02577	AFR
BB70	HG02580	AFR
2357	NA19625	AFR
2357a	NA20274	AFR
2367	NA19700	AFR
2367	NA19701	AFR
2367	NA19702	AFR
2368	NA19703	AFR
2368	NA19704	AFR
2368	NA19705	AFR
2369	NA19707	AFR
2369	NA19708	AFR
2371	NA19711	AFR
2371	NA19712	AFR
2418	NA19818	AFR
2418	NA19819	AFR
2418	NA19828	AFR
2424	NA19834	AFR
2424	NA19835	AFR
2424	NA19836	AFR
2425	NA19900	AFR
2425	NA19901	AFR
2425	NA19902	AFR
2426	NA19904	AFR
2426	NA19905	AFR
2426a	NA19913	AFR
2427	NA19908	AFR
2427	NA19909	AFR
2427	NA19919	AFR
2430	NA19914	AFR
2430	NA19915	AFR
2431	NA19916	AFR
2431	NA19917	AFR
2431	NA19918	AFR
2433	NA19920	AFR
2433	NA19921	AFR
2433	NA20129	AFR
2434	NA19922	AFR
2434	NA19923	AFR
2434	NA19924	AFR
2436	NA19713	AFR
2436	NA19982	AFR
2436	NA19983	AFR
2437	NA19714	AFR
2437	NA19985	AFR
2437a	NA19984	AFR
2446	NA20126	AFR
2446	NA20127	AFR
2446	NA20128	AFR
2466	NA20276	AFR
2466	NA20277	AFR
2467	NA20278	AFR
2467	NA20279	AFR
2469	NA20282	AFR
2469	NA20284	AFR
2469	NA20285	AFR
2469a	NA20281	AFR
2470	NA20287	AFR
2470	NA20288	AFR
2471	NA20289	AFR
2471	NA20290	AFR
2472	NA20291	AFR
